initial_deg,converged,converged_true,final_omega2_deg,error_deg,frob_err,final_E,iters
30.1,True,True,-30.000227026468604,-60.00022702646861,5.38e-06,2.1194515059,14
30.2,True,True,-30.000435963564765,-60.00043596356477,1.05e-05,2.1141600314,17
30.3,True,True,-30.00111415997954,-60.00111415997954,2.732e-05,2.103649556,19
30.4,True,True,-30.00100428946693,-60.001004289466934,3.385e-05,2.1203370382,21
30.5,True,True,-30.00082306809699,-60.00082306809699,2.905e-05,2.1214774124,25
30.6,True,True,-30.000531193537388,-60.000531193537384,1.286e-05,2.1121522077,31
30.7,True,True,-30.001036128286902,-60.0010361282869,2.531e-05,2.1037168263,35
30.8,True,True,-30.001037903347243,-60.00103790334724,2.553e-05,2.1049052893,41
30.9,True,True,-30.00072577657691,-60.000725776576914,1.772e-05,2.108786877,47
31.0,True,True,-30.0016242102078,-60.0016242102078,3.988e-05,2.1006179035,53
31.1,True,True,-30.00070985716732,-60.00070985716732,1.731e-05,2.1090671364,61
31.2,True,True,-30.000832306671672,-60.00083230667167,2.041e-05,2.1074372213,69
31.3,False,False,nan,nan,nan,nan,-1
31.4,False,False,nan,nan,nan,nan,-1
31.5,False,False,nan,nan,nan,nan,-1
31.6,False,False,nan,nan,nan,nan,-1
31.7,False,False,nan,nan,nan,nan,-1
31.8,False,False,nan,nan,nan,nan,-1
31.9,True,False,-31.868585394778734,-61.868585394778734,0.04611982,1074.9570319975,20
32.0,True,False,-31.986339823456095,-61.98633982345609,0.04902552,1101.1175090398,12
32.1,True,False,-32.04863487158456,-62.04863487158456,0.05056366,1108.5709921454,18
32.2,True,False,-32.16240561596127,-62.16240561596127,0.05337094,1132.2804286203,16
32.3,True,False,-32.2826515357068,-62.2826515357068,0.05633805,1154.5288543385,14
32.4,True,False,-32.399999621043044,-62.399999621043044,0.05923381,1175.5074410935,10
32.5,True,False,-32.461602378677036,-62.461602378677036,0.06075492,1177.2237903779,18
32.6,True,False,-32.58177347254748,-62.58177347254748,0.06371966,1194.729816042,14
32.7,True,False,-32.691883763984194,-62.691883763984194,0.06643658,1211.9149058955,12
32.8,True,False,-32.757820961211024,-62.757820961211024,0.06806578,1209.8403553155,22
32.9,True,False,-32.86989022866041,-62.86989022866041,0.07083016,1224.188848363,18
33.0,True,False,-32.99270805163558,-62.99270805163558,0.07385944,1239.8219102536,12
33.1,True,False,-33.054927501101666,-63.054927501101666,0.07539702,1237.9971221473,22
33.2,True,False,-33.16793621797558,-63.16793621797558,0.07818393,1253.4252398726,18
33.3,True,False,-33.23295715273388,-63.23295715273388,0.07979172,1255.9966019929,26
33.4,True,False,-33.349483114285015,-63.349483114285015,0.08266465,1270.6043186868,22
33.5,True,False,-33.46747868213042,-63.46747868213042,0.08557425,1286.6828364248,18
33.6,True,False,-33.584811745124675,-63.584811745124675,0.08846821,1303.1630653022,14
33.7,True,False,-33.700000189375956,-63.700000189375956,0.09130976,1320.0170372147,10
33.8,True,False,-33.7664630079256,-63.7664630079256,0.09294984,1319.0932903093,20
33.9,True,False,-33.88699176461923,-63.88699176461923,0.09592272,1333.3206280989,16
34.0,True,False,-33.99999991700028,-63.99999991700028,0.09871038,1346.4971849316,10
34.1,True,False,-34.067246713400245,-64.06724671340024,0.1003693,1347.9471737204,22
34.2,True,False,-34.183513022194724,-64.18351302219472,0.10323712,1359.1778766706,68
34.3,True,False,-34.300000195444525,-64.30000019544453,0.10611033,1370.7807372001,10
34.4,True,False,-34.36053180268088,-64.36053180268088,0.10760336,1375.1749160226,64
34.5,True,False,-34.47867740385088,-64.47867740385088,0.11051735,1386.4795684486,58
34.6,True,False,-34.59583987845029,-64.59583987845029,0.11340695,1397.4945732577,60
34.7,True,False,-34.65863359330285,-64.65863359330285,0.11495594,1398.7399367765,58
34.8,True,False,-34.77455425829929,-64.77455425829929,0.11781462,1408.9134671042,50
34.9,True,False,-34.890185169896704,-64.89018516989671,0.12066598,1421.0159097818,40
35.0,True,False,-35.00000031221116,-65.00000031221116,0.12337395,1434.9894886109,10
