frame,r00,r01,r02,r10,r11,r12,r20,r21,r22,elapsed_sec
62,0.9999270857,0.002820165,-0.0117417978,-0.0028781936,0.9999837148,-0.0049280792,0.0117277082,0.0049615152,0.9999189189,113.738
63,0.999909743,0.0019992282,-0.0132856606,-0.0020765654,0.9999809665,-0.0058098508,0.0132737921,0.0058369151,0.999894863,191.564
64,0.9999074024,0.0020227446,-0.0134571514,-0.002102797,0.9999801638,-0.0059371881,0.0134448746,0.0059649361,0.9998918217,97.129
65,0.9999074024,0.0020227446,-0.0134571514,-0.002102797,0.9999801638,-0.0059371881,0.0134448746,0.0059649361,0.9998918217,22.750
66,0.9999074024,0.0020227446,-0.0134571514,-0.002102797,0.9999801638,-0.0059371881,0.0134448746,0.0059649361,0.9998918217,25.233
67,0.9999074024,0.0020227446,-0.0134571514,-0.002102797,0.9999801638,-0.0059371881,0.0134448746,0.0059649361,0.9998918217,24.846
68,0.9999074024,0.0020227446,-0.0134571514,-0.002102797,0.9999801638,-0.0059371881,0.0134448746,0.0059649361,0.9998918217,24.545
69,0.9999052188,0.0021478628,-0.0135992624,-0.0022299035,0.9999793907,-0.0060204291,0.0135860506,0.0060501836,0.9998894012,65.609
70,0.9998657937,0.0034940854,-0.0160058038,-0.0035887477,0.9999762179,-0.0058893396,0.0159848448,0.0059459901,0.9998545545,113.734
71,0.9998652267,0.0035406135,-0.0160309822,-0.0036351576,0.9999761506,-0.0058722846,0.0160098079,0.0059297685,0.9998542514,26.835
72,0.9998652267,0.0035406135,-0.0160309822,-0.0036351576,0.9999761506,-0.0058722846,0.0160098079,0.0059297685,0.9998542514,22.184
73,0.9998652267,0.0035406135,-0.0160309822,-0.0036351576,0.9999761506,-0.0058722846,0.0160098079,0.0059297685,0.9998542514,24.461
74,0.9998624558,0.003570147,-0.0161964044,-0.0036642498,0.9999765581,-0.0057841424,0.016175374,0.0058426947,0.9998520992,29.063
75,0.9998343719,0.0040642002,-0.0177400943,-0.0041528912,0.9999790484,-0.0049654835,0.0177195414,0.0050383339,0.9998303022,81.516
76,0.9998278484,0.004269418,-0.0180567303,-0.0043569715,0.9999789293,-0.0048122347,0.0180358039,0.0048900791,0.9998253833,40.578
77,0.9998278484,0.004269418,-0.0180567303,-0.0043569715,0.9999789293,-0.0048122347,0.0180358039,0.0048900791,0.9998253833,24.439
78,0.9998278484,0.004269418,-0.0180567303,-0.0043569715,0.9999789293,-0.0048122347,0.0180358039,0.0048900791,0.9998253833,24.716
79,0.9998278484,0.004269418,-0.0180567303,-0.0043569715,0.9999789293,-0.0048122347,0.0180358039,0.0048900791,0.9998253833,25.299
80,0.9998217719,0.0045329479,-0.0183269381,-0.004621997,0.9999777046,-0.0048194757,0.0183046826,0.004903324,0.999820432,34.397
81,0.9997939922,0.0056262783,-0.0195017457,-0.0057121966,0.9999742118,-0.0043527615,0.0194767525,0.0044632628,0.9998003479,62.509
82,0.9997934228,0.0056564815,-0.0195221888,-0.0057421851,0.9999741094,-0.0043367887,0.019497152,0.004447993,0.9998000183,34.135
83,0.9997916856,0.005756801,-0.0195817383,-0.0058423638,0.9999736229,-0.0043151147,0.0195563801,0.0044286196,0.9997989475,29.547
84,0.9997911191,0.0058043923,-0.0195966068,-0.0058899525,0.9999733607,-0.0043111729,0.0195710605,0.0044256956,0.9997986732,48.539
85,0.999789805,0.0059428981,-0.0196221183,-0.0060290907,0.9999724225,-0.0043363842,0.0195958059,0.0044537764,0.9997980638,29.915
86,0.9997756054,0.007117794,-0.0199518308,-0.0072088204,0.9999639173,-0.0044940958,0.0199191222,0.0046369166,0.999790842,49.022
87,0.9997490823,0.0086115039,-0.0206788347,-0.0086916939,0.9999550398,-0.003791127,0.020645257,0.0039699099,0.9997789823,76.023
88,0.9997400881,0.0089412786,-0.0209716357,-0.0090180813,0.9999529617,-0.0035704968,0.0209387238,0.0037586927,0.9997736956,47.942
89,0.9997400881,0.0089412786,-0.0209716357,-0.0090180813,0.9999529617,-0.0035704968,0.0209387238,0.0037586927,0.9997736956,24.783
90,0.9997400881,0.0089412786,-0.0209716357,-0.0090180813,0.9999529617,-0.0035704968,0.0209387238,0.0037586927,0.9997736956,25.331
91,0.9997400881,0.0089412786,-0.0209716357,-0.0090180813,0.9999529617,-0.0035704968,0.0209387238,0.0037586927,0.9997736956,24.595
92,0.9997400881,0.0089412786,-0.0209716357,-0.0090180813,0.9999529617,-0.0035704968,0.0209387238,0.0037586927,0.9997736956,24.612
93,0.999697339,0.0101936767,-0.0223901554,-0.0102456616,0.9999450734,-0.0022082739,0.0223664145,0.0024370075,0.9997468704,122.685
94,0.9996972286,0.010195191,-0.0223943948,-0.010247129,0.999945064,-0.0022057023,0.0223706764,0.0024345127,0.9997467811,38.438
95,0.9996972286,0.010195191,-0.0223943948,-0.010247129,0.999945064,-0.0022057023,0.0223706764,0.0024345127,0.9997467811,25.061
96,0.9996971796,0.0102256727,-0.0223826806,-0.0102769255,0.9999448233,-0.002176,0.0223591939,0.0024053661,0.9997471085,27.753
97,0.9996968633,0.0103273344,-0.0223501074,-0.0103773421,0.9999439009,-0.0021226316,0.0223269319,0.0023539228,0.999747952,31.453
98,0.9996968633,0.0103273344,-0.0223501074,-0.0103773421,0.9999439009,-0.0021226316,0.0223269319,0.0023539228,0.999747952,22.309
99,0.9996966116,0.0104095874,-0.0223231929,-0.0104599117,0.9999430062,-0.00213876,0.0222996565,0.0023716097,0.999748519,27.297
