initial_deg,converged,converged_true,final_omega2_deg,error_deg,frob_err,final_E,iters
29.7,True,False,29.709295366690142,-0.29070463330985774,1.40799508,2178.4237975682,26
29.8,True,False,29.810426676761224,-0.18957332323877552,1.41015946,2176.2219691826,24
29.9,True,False,29.91201842821352,-0.0879815717864787,1.41233261,2177.4616069131,24
30.0,True,False,30.01136766170745,0.011367661707449628,1.41445666,2175.9502527554,46
30.1,True,False,30.112854653120237,0.11285465312023746,1.41662535,2171.8898940514,30
30.2,True,False,30.213397238046362,0.2133972380463618,1.41877279,2171.9011386914,22
30.3,True,False,30.309662233576574,0.3096622335765744,1.4208278,2171.8710685442,46
30.4,True,False,30.408669632926394,0.4086696329263937,1.42294033,2168.2749204339,22
30.5,True,False,30.50882927841646,0.5088292784164601,1.42507637,2169.3023732687,22
30.6,True,False,30.607902026282357,0.6079020262823569,1.42718815,2170.0558326765,24
30.7,True,False,30.70785629938674,0.7078562993867408,1.42931763,2166.5223468036,22
30.8,True,False,30.807479144575428,0.8074791445754279,1.43143896,2167.0620851227,22
30.9,True,False,30.9065311080658,0.9065311080657992,1.43354709,2168.9917049586,48
31.0,True,False,31.005907658318147,1.0059076583181472,1.43566103,2165.4755231999,22
31.1,True,False,31.106239734782463,1.1062397347824628,1.43779421,2165.7782833599,22
31.2,True,False,31.20931613809354,1.2093161380935413,1.43998462,2168.0148071086,24
31.3,True,False,31.31072656506172,1.3107265650617208,1.44213841,2165.1829600206,42
31.4,True,False,31.413005099002802,1.4130050990028025,1.44430956,2162.013132493,22
31.5,True,False,31.511315226565895,1.5113152265658947,1.44639539,2163.490710876,24
31.6,True,False,31.606661295993554,1.606661295993554,1.44841727,2161.8831233806,22
31.7,True,False,31.70367278361533,1.7036727836153283,1.45047346,2160.4470502911,22
31.8,True,False,31.80201662942711,1.8020166294271114,1.45255685,2164.0841328594,24
31.9,True,False,31.902573567455466,1.902573567455466,1.45468597,2162.9424254818,24
32.0,True,False,32.00422447529936,2.0042244752993597,1.45683713,2161.526157648,24
32.1,True,False,32.10528000967257,2.105280009672569,1.45897458,2163.7991299571,24
32.2,True,False,32.205652360404216,2.2056523604042155,1.46109645,2164.6142346767,24
32.3,True,False,32.30414644152789,2.304146441527891,1.4631775,2161.4940209092,24
32.4,True,False,32.40099889390739,2.400998893907392,1.46522283,2164.0221075524,22
32.5,True,False,32.497384418130274,2.497384418130274,1.46725729,2165.0394923207,40
32.6,True,False,32.59704529008627,2.597045290086271,1.46935972,2164.0748726062,24
32.7,True,False,32.69835159137577,2.6983515913757685,1.47149576,2167.368424966,22
32.8,True,False,32.79816745494281,2.7981674549428135,1.47359929,2169.7164393226,34
32.9,True,False,32.89794146837403,2.8979414683740288,1.47570075,2167.7912050222,36
33.0,True,False,32.998647649577286,2.9986476495772862,1.47782074,2170.0749147747,22
33.1,True,False,33.09985401178555,3.0998540117855526,1.47995014,2173.7740222341,24
33.2,True,False,33.200776812397926,3.200776812397926,1.48207237,2171.6639831576,26
33.3,True,False,33.302257136155184,3.302257136155184,1.48420519,2171.6762515409,22
33.4,True,False,33.40128199513635,3.401281995136351,1.48628529,2175.2271739588,24
33.5,True,False,33.49893460255013,3.498934602550129,1.48833547,2173.9978384219,30
33.6,True,False,33.59708992378209,3.597089923782093,1.4903951,2174.3366368104,22
33.7,True,False,33.695771438846826,3.695771438846826,1.49246469,2179.0805772908,26
33.8,True,False,33.79632493455998,3.7963249345599834,1.49457241,2178.7673644294,46
33.9,True,False,33.89979476723817,3.89979476723817,1.49674002,2178.6260118433,22
34.0,True,False,34.002285906770446,4.002285906770446,1.49888594,2181.1250517986,22
34.1,True,False,34.10357174220085,4.103571742200849,1.50100548,2183.2735692879,30
34.2,True,False,34.20441404602906,4.204414046029058,1.50311454,2180.3402568342,22
34.3,True,False,34.30474114676709,4.304741146767093,1.50521166,2180.7375415809,22
34.4,True,False,34.40525703866203,4.405257038662029,1.5073116,2183.7340640695,24
34.5,True,False,34.50541815691219,4.505418156912192,1.50940294,2181.1944475661,34
34.6,True,False,34.60664645217694,4.606646452176939,1.51151541,2179.8989693727,22
34.7,True,False,34.7080563090982,4.708056309098197,1.51363052,2182.2053199161,24
34.8,True,False,34.80719609677721,4.807196096777211,1.51569708,2181.2988400686,22
34.9,True,False,34.90709187600717,4.907091876007172,1.51777826,2178.4398333163,22
35.0,True,False,35.00656936219858,5.006569362198583,1.51984962,2180.29874302,22
