画像読み込み成功: images/base/base2.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像読み込み成功: images/reference/ref_base2_w1_15_w2_30.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像サイズ: 6080 x 3040
比較領域: u=[1520,4560]  v=[760,2280]
真値: (ω1, ω2, ω3) = (15.0, 30.0, 0.0) [deg]
ω₁ スキャン範囲: 5.0°〜25.0°  (201点)
ω₂ スキャン範囲: 20.0°〜40.0°  (201点)
合計 40401 点を計算します

  進捗: 5300 / 40401  (ω1=7.6°, ω2=27.3°, E=1470.1954)
  進捗: 5350 / 40401  (ω1=7.6°, ω2=32.3°, E=1639.9734)
  進捗: 5400 / 40401  (ω1=7.6°, ω2=37.3°, E=2009.2791)
  進捗: 5450 / 40401  (ω1=7.7°, ω2=22.2°, E=1589.1187)
  進捗: 5500 / 40401  (ω1=7.7°, ω2=27.2°, E=1468.6985)
  進捗: 5550 / 40401  (ω1=7.7°, ω2=32.2°, E=1627.2804)
  進捗: 5600 / 40401  (ω1=7.7°, ω2=37.2°, E=2002.5361)
  進捗: 5650 / 40401  (ω1=7.8°, ω2=22.1°, E=1590.7209)
  進捗: 5700 / 40401  (ω1=7.8°, ω2=27.1°, E=1467.2555)
  進捗: 5750 / 40401  (ω1=7.8°, ω2=32.1°, E=1613.3256)
  進捗: 5800 / 40401  (ω1=7.8°, ω2=37.1°, E=1995.1412)
  進捗: 5850 / 40401  (ω1=7.9°, ω2=22.0°, E=1592.3402)
  進捗: 5900 / 40401  (ω1=7.9°, ω2=27.0°, E=1464.2200)
  進捗: 5950 / 40401  (ω1=7.9°, ω2=32.0°, E=1597.6091)
  進捗: 6000 / 40401  (ω1=7.9°, ω2=37.0°, E=1986.6232)
  進捗: 6050 / 40401  (ω1=8.0°, ω2=21.9°, E=1595.1551)
  進捗: 6100 / 40401  (ω1=8.0°, ω2=26.9°, E=1459.7426)
  進捗: 6150 / 40401  (ω1=8.0°, ω2=31.9°, E=1581.0799)
  進捗: 6200 / 40401  (ω1=8.0°, ω2=36.9°, E=1977.0268)
  進捗: 6250 / 40401  (ω1=8.1°, ω2=21.8°, E=1598.4023)
  進捗: 6300 / 40401  (ω1=8.1°, ω2=26.8°, E=1455.9052)
  進捗: 6350 / 40401  (ω1=8.1°, ω2=31.8°, E=1563.8892)
  進捗: 6400 / 40401  (ω1=8.1°, ω2=36.8°, E=1967.7140)
  進捗: 6450 / 40401  (ω1=8.2°, ω2=21.7°, E=1601.5404)
  進捗: 6500 / 40401  (ω1=8.2°, ω2=26.7°, E=1452.1493)
  進捗: 6550 / 40401  (ω1=8.2°, ω2=31.7°, E=1547.0071)
  進捗: 6600 / 40401  (ω1=8.2°, ω2=36.7°, E=1957.9611)
  進捗: 6650 / 40401  (ω1=8.3°, ω2=21.6°, E=1605.0371)
  進捗: 6700 / 40401  (ω1=8.3°, ω2=26.6°, E=1447.4675)
  進捗: 6750 / 40401  (ω1=8.3°, ω2=31.6°, E=1530.9252)
  進捗: 6800 / 40401  (ω1=8.3°, ω2=36.6°, E=1948.0012)
  進捗: 6850 / 40401  (ω1=8.4°, ω2=21.5°, E=1608.5761)
  進捗: 6900 / 40401  (ω1=8.4°, ω2=26.5°, E=1442.6051)
  進捗: 6950 / 40401  (ω1=8.4°, ω2=31.5°, E=1515.0744)
  進捗: 7000 / 40401  (ω1=8.4°, ω2=36.5°, E=1938.5795)
  進捗: 7050 / 40401  (ω1=8.5°, ω2=21.4°, E=1611.4621)
  進捗: 7100 / 40401  (ω1=8.5°, ω2=26.4°, E=1438.9717)
  進捗: 7150 / 40401  (ω1=8.5°, ω2=31.4°, E=1498.5034)
  進捗: 7200 / 40401  (ω1=8.5°, ω2=36.4°, E=1929.2986)
  進捗: 7250 / 40401  (ω1=8.6°, ω2=21.3°, E=1614.3756)
  進捗: 7300 / 40401  (ω1=8.6°, ω2=26.3°, E=1435.7288)
  進捗: 7350 / 40401  (ω1=8.6°, ω2=31.3°, E=1481.5803)
  進捗: 7400 / 40401  (ω1=8.6°, ω2=36.3°, E=1919.3308)
  進捗: 7450 / 40401  (ω1=8.7°, ω2=21.2°, E=1618.2483)
  進捗: 7500 / 40401  (ω1=8.7°, ω2=26.2°, E=1432.9975)
  進捗: 7550 / 40401  (ω1=8.7°, ω2=31.2°, E=1464.7510)
  進捗: 7600 / 40401  (ω1=8.7°, ω2=36.2°, E=1909.9976)
  進捗: 7650 / 40401  (ω1=8.8°, ω2=21.1°, E=1623.5371)
  進捗: 7700 / 40401  (ω1=8.8°, ω2=26.1°, E=1432.0404)
  進捗: 7750 / 40401  (ω1=8.8°, ω2=31.1°, E=1449.4658)
  進捗: 7800 / 40401  (ω1=8.8°, ω2=36.1°, E=1900.8745)
  進捗: 7850 / 40401  (ω1=8.9°, ω2=21.0°, E=1629.8485)
  進捗: 7900 / 40401  (ω1=8.9°, ω2=26.0°, E=1431.6534)
  進捗: 7950 / 40401  (ω1=8.9°, ω2=31.0°, E=1435.7434)
