画像読み込み成功: images/base/base3.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像読み込み成功: images/reference/ref_base3_w1_15_w2_30.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像サイズ: 6080 x 3040
比較領域: u=[1520,4560]  v=[760,2280]
真値: (ω1, ω2, ω3) = (15.0, 30.0, 0.0) [deg]
ω₁ スキャン範囲: 5.0°〜25.0°  (201点)
ω₂ スキャン範囲: 20.0°〜40.0°  (201点)
合計 40401 点を計算します

  進捗: 5850 / 40401  (ω1=7.9°, ω2=22.0°, E=1320.1565)
  進捗: 5900 / 40401  (ω1=7.9°, ω2=27.0°, E=1168.2612)
  進捗: 5950 / 40401  (ω1=7.9°, ω2=32.0°, E=1218.8939)
  進捗: 6000 / 40401  (ω1=7.9°, ω2=37.0°, E=1318.5388)
  進捗: 6050 / 40401  (ω1=8.0°, ω2=21.9°, E=1316.3756)
  進捗: 6100 / 40401  (ω1=8.0°, ω2=26.9°, E=1163.2222)
  進捗: 6150 / 40401  (ω1=8.0°, ω2=31.9°, E=1207.6127)
  進捗: 6200 / 40401  (ω1=8.0°, ω2=36.9°, E=1309.2946)
  進捗: 6250 / 40401  (ω1=8.1°, ω2=21.8°, E=1311.9715)
  進捗: 6300 / 40401  (ω1=8.1°, ω2=26.8°, E=1158.8181)
  進捗: 6350 / 40401  (ω1=8.1°, ω2=31.8°, E=1197.4061)
  進捗: 6400 / 40401  (ω1=8.1°, ω2=36.8°, E=1300.6076)
  進捗: 6450 / 40401  (ω1=8.2°, ω2=21.7°, E=1307.2987)
  進捗: 6500 / 40401  (ω1=8.2°, ω2=26.7°, E=1155.1238)
  進捗: 6550 / 40401  (ω1=8.2°, ω2=31.7°, E=1187.2786)
  進捗: 6600 / 40401  (ω1=8.2°, ω2=36.7°, E=1292.2171)
  進捗: 6650 / 40401  (ω1=8.3°, ω2=21.6°, E=1304.1876)
  進捗: 6700 / 40401  (ω1=8.3°, ω2=26.6°, E=1151.0057)
  進捗: 6750 / 40401  (ω1=8.3°, ω2=31.6°, E=1176.9142)
  進捗: 6800 / 40401  (ω1=8.3°, ω2=36.6°, E=1283.0559)
  進捗: 6850 / 40401  (ω1=8.4°, ω2=21.5°, E=1302.4613)
  進捗: 6900 / 40401  (ω1=8.4°, ω2=26.5°, E=1147.1444)
  進捗: 6950 / 40401  (ω1=8.4°, ω2=31.5°, E=1166.0260)
  進捗: 7000 / 40401  (ω1=8.4°, ω2=36.5°, E=1273.7324)
  進捗: 7050 / 40401  (ω1=8.5°, ω2=21.4°, E=1300.0423)
  進捗: 7100 / 40401  (ω1=8.5°, ω2=26.4°, E=1144.7397)
  進捗: 7150 / 40401  (ω1=8.5°, ω2=31.4°, E=1153.9767)
  進捗: 7200 / 40401  (ω1=8.5°, ω2=36.4°, E=1264.7794)
  進捗: 7250 / 40401  (ω1=8.6°, ω2=21.3°, E=1296.4732)
  進捗: 7300 / 40401  (ω1=8.6°, ω2=26.3°, E=1142.5738)
  進捗: 7350 / 40401  (ω1=8.6°, ω2=31.3°, E=1142.2114)
  進捗: 7400 / 40401  (ω1=8.6°, ω2=36.3°, E=1256.0797)
  進捗: 7450 / 40401  (ω1=8.7°, ω2=21.2°, E=1293.5043)
  進捗: 7500 / 40401  (ω1=8.7°, ω2=26.2°, E=1140.5383)
  進捗: 7550 / 40401  (ω1=8.7°, ω2=31.2°, E=1130.6249)
  進捗: 7600 / 40401  (ω1=8.7°, ω2=36.2°, E=1247.5004)
  進捗: 7650 / 40401  (ω1=8.8°, ω2=21.1°, E=1291.6209)
  進捗: 7700 / 40401  (ω1=8.8°, ω2=26.1°, E=1138.5638)
  進捗: 7750 / 40401  (ω1=8.8°, ω2=31.1°, E=1118.2467)
  進捗: 7800 / 40401  (ω1=8.8°, ω2=36.1°, E=1238.9023)
  進捗: 7850 / 40401  (ω1=8.9°, ω2=21.0°, E=1289.9263)
  進捗: 7900 / 40401  (ω1=8.9°, ω2=26.0°, E=1136.1250)
  進捗: 7950 / 40401  (ω1=8.9°, ω2=31.0°, E=1105.7700)
  進捗: 8000 / 40401  (ω1=8.9°, ω2=36.0°, E=1230.5634)
  進捗: 8050 / 40401  (ω1=9.0°, ω2=20.9°, E=1287.9402)
  進捗: 8100 / 40401  (ω1=9.0°, ω2=25.9°, E=1132.2126)
  進捗: 8150 / 40401  (ω1=9.0°, ω2=30.9°, E=1093.0597)
  進捗: 8200 / 40401  (ω1=9.0°, ω2=35.9°, E=1222.1881)
  進捗: 8250 / 40401  (ω1=9.1°, ω2=20.8°, E=1285.9044)
  進捗: 8300 / 40401  (ω1=9.1°, ω2=25.8°, E=1128.4563)
  進捗: 8350 / 40401  (ω1=9.1°, ω2=30.8°, E=1080.2373)
  進捗: 8400 / 40401  (ω1=9.1°, ω2=35.8°, E=1214.2775)
  進捗: 8450 / 40401  (ω1=9.2°, ω2=20.7°, E=1284.0471)
  進捗: 8500 / 40401  (ω1=9.2°, ω2=25.7°, E=1125.1834)
  進捗: 8550 / 40401  (ω1=9.2°, ω2=30.7°, E=1067.5170)
  進捗: 8600 / 40401  (ω1=9.2°, ω2=35.7°, E=1206.3839)
  進捗: 8650 / 40401  (ω1=9.3°, ω2=20.6°, E=1282.2780)
  進捗: 8700 / 40401  (ω1=9.3°, ω2=25.6°, E=1121.5887)
  進捗: 8750 / 40401  (ω1=9.3°, ω2=30.6°, E=1054.7746)
  進捗: 8800 / 40401  (ω1=9.3°, ω2=35.6°, E=1197.6099)
  進捗: 8850 / 40401  (ω1=9.4°, ω2=20.5°, E=1280.4710)
  進捗: 8900 / 40401  (ω1=9.4°, ω2=25.5°, E=1117.7747)
  進捗: 8950 / 40401  (ω1=9.4°, ω2=30.5°, E=1041.9607)
  進捗: 9000 / 40401  (ω1=9.4°, ω2=35.5°, E=1188.2895)
  進捗: 9050 / 40401  (ω1=9.5°, ω2=20.4°, E=1278.7546)
  進捗: 9100 / 40401  (ω1=9.5°, ω2=25.4°, E=1114.6195)
  進捗: 9150 / 40401  (ω1=9.5°, ω2=30.4°, E=1029.3127)
  進捗: 9200 / 40401  (ω1=9.5°, ω2=35.4°, E=1178.9555)
  進捗: 9250 / 40401  (ω1=9.6°, ω2=20.3°, E=1277.6322)
  進捗: 9300 / 40401  (ω1=9.6°, ω2=25.3°, E=1111.7523)
  進捗: 9350 / 40401  (ω1=9.6°, ω2=30.3°, E=1016.1425)
  進捗: 9400 / 40401  (ω1=9.6°, ω2=35.3°, E=1169.7200)
  進捗: 9450 / 40401  (ω1=9.7°, ω2=20.2°, E=1276.1704)
  進捗: 9500 / 40401  (ω1=9.7°, ω2=25.2°, E=1108.1330)
  進捗: 9550 / 40401  (ω1=9.7°, ω2=30.2°, E=1001.6036)
  進捗: 9600 / 40401  (ω1=9.7°, ω2=35.2°, E=1160.4300)
  進捗: 9650 / 40401  (ω1=9.8°, ω2=20.1°, E=1274.1061)
  進捗: 9700 / 40401  (ω1=9.8°, ω2=25.1°, E=1104.7440)
  進捗: 9750 / 40401  (ω1=9.8°, ω2=30.1°, E=987.4604)
  進捗: 9800 / 40401  (ω1=9.8°, ω2=35.1°, E=1151.0271)
  進捗: 9850 / 40401  (ω1=9.9°, ω2=20.0°, E=1272.1783)
  進捗: 9900 / 40401  (ω1=9.9°, ω2=25.0°, E=1102.1113)
  進捗: 9950 / 40401  (ω1=9.9°, ω2=30.0°, E=973.9753)
  進捗: 10000 / 40401  (ω1=9.9°, ω2=35.0°, E=1141.1004)
  進捗: 10050 / 40401  (ω1=9.9°, ω2=40.0°, E=1303.1848)
  進捗: 10100 / 40401  (ω1=10.0°, ω2=24.9°, E=1099.4123)
  進捗: 10150 / 40401  (ω1=10.0°, ω2=29.9°, E=959.5591)
  進捗: 10200 / 40401  (ω1=10.0°, ω2=34.9°, E=1131.4887)
  進捗: 10250 / 40401  (ω1=10.0°, ω2=39.9°, E=1295.3792)
  進捗: 10300 / 40401  (ω1=10.1°, ω2=24.8°, E=1097.1900)
  進捗: 10350 / 40401  (ω1=10.1°, ω2=29.8°, E=944.0141)
  進捗: 10400 / 40401  (ω1=10.1°, ω2=34.8°, E=1122.1231)
  進捗: 10450 / 40401  (ω1=10.1°, ω2=39.8°, E=1287.1441)
  進捗: 10500 / 40401  (ω1=10.2°, ω2=24.7°, E=1094.7575)
  進捗: 10550 / 40401  (ω1=10.2°, ω2=29.7°, E=930.1932)
  進捗: 10600 / 40401  (ω1=10.2°, ω2=34.7°, E=1111.8199)
  進捗: 10650 / 40401  (ω1=10.2°, ω2=39.7°, E=1277.7977)
  進捗: 10700 / 40401  (ω1=10.3°, ω2=24.6°, E=1091.6749)
  進捗: 10750 / 40401  (ω1=10.3°, ω2=29.6°, E=918.7163)
  進捗: 10800 / 40401  (ω1=10.3°, ω2=34.6°, E=1102.1307)
  進捗: 10850 / 40401  (ω1=10.3°, ω2=39.6°, E=1268.5872)
  進捗: 10900 / 40401  (ω1=10.4°, ω2=24.5°, E=1088.6988)
  進捗: 10950 / 40401  (ω1=10.4°, ω2=29.5°, E=909.0256)
  進捗: 11000 / 40401  (ω1=10.4°, ω2=34.5°, E=1093.6573)
  進捗: 11050 / 40401  (ω1=10.4°, ω2=39.5°, E=1260.4161)
  進捗: 11100 / 40401  (ω1=10.5°, ω2=24.4°, E=1085.2921)
  進捗: 11150 / 40401  (ω1=10.5°, ω2=29.4°, E=901.0264)
  進捗: 11200 / 40401  (ω1=10.5°, ω2=34.4°, E=1084.7654)
  進捗: 11250 / 40401  (ω1=10.5°, ω2=39.4°, E=1251.8612)
  進捗: 11300 / 40401  (ω1=10.6°, ω2=24.3°, E=1082.1589)
  進捗: 11350 / 40401  (ω1=10.6°, ω2=29.3°, E=893.9436)
  進捗: 11400 / 40401  (ω1=10.6°, ω2=34.3°, E=1075.4033)
  進捗: 11450 / 40401  (ω1=10.6°, ω2=39.3°, E=1242.5696)
  進捗: 11500 / 40401  (ω1=10.7°, ω2=24.2°, E=1080.3029)
  進捗: 11550 / 40401  (ω1=10.7°, ω2=29.2°, E=886.5814)
  進捗: 11600 / 40401  (ω1=10.7°, ω2=34.2°, E=1066.3517)
  進捗: 11650 / 40401  (ω1=10.7°, ω2=39.2°, E=1234.0052)
  進捗: 11700 / 40401  (ω1=10.8°, ω2=24.1°, E=1078.6673)
  進捗: 11750 / 40401  (ω1=10.8°, ω2=29.1°, E=878.2172)
  進捗: 11800 / 40401  (ω1=10.8°, ω2=34.1°, E=1056.6261)
  進捗: 11850 / 40401  (ω1=10.8°, ω2=39.1°, E=1225.5757)
  進捗: 11900 / 40401  (ω1=10.9°, ω2=24.0°, E=1076.5935)
  進捗: 11950 / 40401  (ω1=10.9°, ω2=29.0°, E=870.7579)
  進捗: 12000 / 40401  (ω1=10.9°, ω2=34.0°, E=1047.1674)
  進捗: 12050 / 40401  (ω1=10.9°, ω2=39.0°, E=1216.5484)
  進捗: 12100 / 40401  (ω1=11.0°, ω2=23.9°, E=1074.2923)
  進捗: 12150 / 40401  (ω1=11.0°, ω2=28.9°, E=864.4688)
  進捗: 12200 / 40401  (ω1=11.0°, ω2=33.9°, E=1038.0742)
  進捗: 12250 / 40401  (ω1=11.0°, ω2=38.9°, E=1207.1687)
  進捗: 12300 / 40401  (ω1=11.1°, ω2=23.8°, E=1072.1625)
  進捗: 12350 / 40401  (ω1=11.1°, ω2=28.8°, E=857.6447)
  進捗: 12400 / 40401  (ω1=11.1°, ω2=33.8°, E=1028.3256)
  進捗: 12450 / 40401  (ω1=11.1°, ω2=38.8°, E=1198.0579)
  進捗: 12500 / 40401  (ω1=11.2°, ω2=23.7°, E=1070.1987)
  進捗: 12550 / 40401  (ω1=11.2°, ω2=28.7°, E=850.5239)
  進捗: 12600 / 40401  (ω1=11.2°, ω2=33.7°, E=1017.3315)
  進捗: 12650 / 40401  (ω1=11.2°, ω2=38.7°, E=1188.7364)
  進捗: 12700 / 40401  (ω1=11.3°, ω2=23.6°, E=1068.9844)
  進捗: 12750 / 40401  (ω1=11.3°, ω2=28.6°, E=845.1048)
  進捗: 12800 / 40401  (ω1=11.3°, ω2=33.6°, E=1004.8336)
  進捗: 12850 / 40401  (ω1=11.3°, ω2=38.6°, E=1179.2543)
  進捗: 12900 / 40401  (ω1=11.4°, ω2=23.5°, E=1067.3449)
  進捗: 12950 / 40401  (ω1=11.4°, ω2=28.5°, E=841.2370)
  進捗: 13000 / 40401  (ω1=11.4°, ω2=33.5°, E=991.0513)
  進捗: 13050 / 40401  (ω1=11.4°, ω2=38.5°, E=1170.5059)
  進捗: 13100 / 40401  (ω1=11.5°, ω2=23.4°, E=1065.2635)
  進捗: 13150 / 40401  (ω1=11.5°, ω2=28.4°, E=836.8061)
