画像読み込み成功: images/base/base.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像読み込み成功: images/reference/ref_w1_15_w2_30.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像サイズ: 6080 x 3040
比較領域: u=[1520,4560]  v=[760,2280]
真値: (ω1, ω2, ω3) = (15.0, 30.0, 0.0) [deg]
ω₁ スキャン範囲: 5.0°〜25.0°  (201点)
ω₂ スキャン範囲: 20.0°〜40.0°  (201点)
合計 40401 点を計算します

  進捗: 4750 / 40401  (ω1=7.3°, ω2=32.6°, E=1658.9020)
  進捗: 4800 / 40401  (ω1=7.3°, ω2=37.6°, E=1708.1470)
  進捗: 4850 / 40401  (ω1=7.4°, ω2=22.5°, E=1587.3391)
  進捗: 4900 / 40401  (ω1=7.4°, ω2=27.5°, E=1429.5151)
  進捗: 4950 / 40401  (ω1=7.4°, ω2=32.5°, E=1649.1083)
  進捗: 5000 / 40401  (ω1=7.4°, ω2=37.5°, E=1703.3246)
  進捗: 5050 / 40401  (ω1=7.5°, ω2=22.4°, E=1593.9833)
  進捗: 5100 / 40401  (ω1=7.5°, ω2=27.4°, E=1426.2460)
  進捗: 5150 / 40401  (ω1=7.5°, ω2=32.4°, E=1638.4844)
  進捗: 5200 / 40401  (ω1=7.5°, ω2=37.4°, E=1699.6847)
  進捗: 5250 / 40401  (ω1=7.6°, ω2=22.3°, E=1599.9819)
  進捗: 5300 / 40401  (ω1=7.6°, ω2=27.3°, E=1422.0044)
  進捗: 5350 / 40401  (ω1=7.6°, ω2=32.3°, E=1626.3402)
  進捗: 5400 / 40401  (ω1=7.6°, ω2=37.3°, E=1697.1883)
  進捗: 5450 / 40401  (ω1=7.7°, ω2=22.2°, E=1604.2154)
  進捗: 5500 / 40401  (ω1=7.7°, ω2=27.2°, E=1416.5952)
  進捗: 5550 / 40401  (ω1=7.7°, ω2=32.2°, E=1613.5677)
  進捗: 5600 / 40401  (ω1=7.7°, ω2=37.2°, E=1694.3006)
