omega2_deg,E,dE_dw1,dE_dw2,grad_norm
23.3,1443.4907762332,-130.323881,-2272.330538,2276.064672
23.4,1439.4044509502,31.040773,-2297.911524,2298.121168
23.5,1435.5794410396,162.887016,-1956.244610,1963.014303
23.6,1432.4115464737,183.048325,-1884.604339,1893.473054
23.7,1428.6561740578,171.218883,-2305.479932,2311.829064
23.8,1424.4988187955,294.069563,-2142.340499,2162.429126
23.9,1421.4920029068,581.717231,-1312.749042,1435.863846
24.0,1419.5858428689,936.477970,-959.129552,1340.492629
24.1,1417.6680877657,1177.076116,-1430.686457,1852.666165
24.2,1414.3267932245,1229.920252,-2495.759508,2782.358595
24.3,1409.2501390440,1145.769904,-3176.549412,3376.870569
24.4,1403.4588847330,1015.236925,-3288.081291,3441.247534
24.5,1397.9482926335,827.122389,-3029.243674,3140.135138
24.6,1392.9680498207,664.014612,-2790.788884,2868.696220
24.7,1387.7352386352,594.057381,-3267.113830,3320.683206
24.8,1381.8910075245,619.900552,-3503.962349,3558.374465
24.9,1375.3945764766,677.681179,-3786.188058,3846.358251
25.0,1368.3911967706,627.695181,-4177.421571,4224.316776
25.1,1361.3614486405,538.883529,-4072.772879,4108.269025
25.2,1354.6138559647,502.710736,-3588.582082,3623.622420
25.3,1348.2475607579,446.552731,-3676.892847,3703.910143
25.4,1341.7106201318,446.571315,-3955.962409,3981.088358
25.5,1334.4423166816,523.401350,-4242.414713,4274.579695
25.6,1326.7403781580,492.164186,-4468.748935,4495.769415
25.7,1319.4308184357,529.904605,-4075.157538,4109.465640
25.8,1312.4962329593,695.186479,-3881.364149,3943.129708
25.9,1304.9758050487,913.355507,-4692.991153,4781.044263
26.0,1296.1709297965,1002.913760,-5529.179812,5619.400805
26.1,1286.1306547917,1104.520742,-5885.210137,5987.959956
26.2,1275.3432179490,1330.026311,-6411.867206,6548.359417
26.3,1263.9560942127,1582.571084,-6698.395686,6882.807277
26.4,1252.2576103288,1745.023275,-6551.899992,6780.302333
26.5,1240.3870513909,1672.835257,-6980.516731,7178.160742
26.6,1228.5642173176,1547.138617,-6668.433600,6845.556557
26.7,1217.6351171721,1579.432978,-5853.381754,6062.729294
26.8,1207.4567972264,1657.096722,-5810.886851,6042.547107
26.9,1197.5772592746,1742.851357,-5664.879993,5926.921308
27.0,1187.8798892232,1842.927235,-5395.238761,5701.314067
27.1,1177.9952258400,1942.419301,-5766.255202,6084.627498
27.2,1167.9786857617,1908.393216,-5829.243875,6133.681506
27.3,1158.2682728414,1807.336798,-5455.958207,5747.516530
27.4,1148.2355759328,1731.582416,-6022.636467,6266.620116
27.5,1137.4298440838,1948.442994,-6559.433963,6842.704437
27.6,1125.4380452029,2381.533688,-7125.535243,7512.985772
27.7,1111.7063462601,2883.030877,-8403.890809,8884.663627
27.8,1096.4409698119,3098.421494,-9213.759810,9720.781120
27.9,1080.3605515180,3156.121517,-9318.347512,9838.328282
28.0,1063.3548941391,3295.412291,-10075.762343,10600.977736
28.1,1045.0390358843,3608.719800,-11166.219128,11734.875722
28.2,1025.0279357332,3875.825308,-11907.892282,12522.776067
28.3,1003.1058698772,3886.626067,-13054.578161,13620.861689
28.4,979.4101164182,3791.714191,-14186.739354,14684.708714
28.5,954.1120334053,4047.026780,-14789.873295,15333.583334
28.6,927.2773862941,4556.245324,-15783.540725,16428.010509
28.7,898.7652039537,4974.738459,-17089.907168,17799.240145
28.8,867.9367709387,5303.949586,-18418.288097,19166.773793
28.9,833.3960883446,5646.371814,-20973.242871,21720.000718
29.0,794.5108015305,5800.935495,-23825.753895,24521.774024
29.1,751.2358923814,5883.619437,-25874.581016,26535.088476
29.2,703.5760187188,6174.628257,-28428.583412,29091.414350
29.3,651.4503831379,6563.583691,-31405.448032,32083.995963
29.4,595.0560293044,6918.803802,-33643.249199,34347.315218
29.5,532.3350662192,7435.014617,-38403.685153,39116.779976
29.6,458.8185988346,8260.993569,-46723.399751,47448.077928
29.7,367.2595479104,9245.947370,-59849.720629,60559.694535
29.8,243.7056309208,9994.415714,-81894.879293,82502.482386
29.9,90.3176996473,7984.201736,-84749.995181,85125.255715
30.0,3.2453463108,41.603906,9.139408,42.595936
30.1,90.3789059629,-7961.585378,84849.098692,85221.807013
30.2,244.0583495276,-10079.079132,82075.763270,82692.313745
30.3,368.1737978307,-9412.602655,60275.532229,61006.039654
30.4,460.4831052503,-8530.739694,47295.842145,48059.028329
30.5,534.9372617130,-7802.491857,38902.663472,39677.400424
30.6,598.7722804753,-7335.075900,34252.387528,35028.979286
30.7,656.5291788159,-7004.537672,32215.474554,32968.171753
30.8,710.1377993713,-6645.224078,29473.845445,30213.681808
30.9,759.4714184125,-6409.412203,26792.234879,27548.219808
31.0,804.5564656098,-6353.843088,24859.956720,25659.087476
31.1,845.4806098335,-6251.380628,22262.795442,23123.836633
31.2,882.2845587548,-5963.184509,19837.813605,20714.690877
31.3,915.6055203187,-5639.291119,18516.022889,19355.740955
31.4,946.6337730840,-5168.482446,17181.805602,17942.342505
31.5,975.9234266673,-4562.001717,16136.991478,16769.447028
31.6,1003.5683618242,-4265.573938,15540.409659,16115.193247
31.7,1029.5428094005,-4273.149748,14359.006818,14981.351259
31.8,1053.6845122655,-4212.879636,13088.415681,13749.726538
31.9,1075.8336112355,-3856.196974,12281.919561,12873.065028
32.0,1096.1143708265,-3420.387355,11149.631386,11662.475282
32.1,1114.6701617003,-3118.436789,10080.604366,10551.930268
32.2,1131.9131808753,-2936.639825,9653.110604,10089.915649
32.3,1147.9634946269,-2611.572862,8751.825645,9133.168395
32.4,1162.2206651241,-2013.280916,7534.213161,7798.568330
32.5,1174.6061634038,-1464.874814,6732.512694,6890.035224
32.6,1185.7287753887,-1175.595195,6063.819472,6176.724913
32.7,1195.9291251451,-1190.201023,5538.469522,5664.911572
32.8,1205.7977178797,-1384.804531,5822.743694,5985.150601
32.9,1216.2416787581,-1514.036509,6171.407508,6354.413991
33.0,1226.8081123894,-1536.305499,5912.198282,6108.545089
33.1,1237.4501661547,-1573.904540,6246.348137,6441.586804
33.2,1248.5561129776,-1602.480877,6574.534910,6767.012210
33.3,1260.1042167897,-1636.148573,6710.371608,6906.958033
33.4,1272.5404445738,-1763.880918,7522.505184,7726.536102
33.5,1286.0150057183,-2030.835408,7879.472364,8136.975924
33.6,1299.5775300915,-2208.647322,7696.844098,8007.467269
33.7,1313.1927778257,-2195.156730,7884.789793,8184.657791
33.8,1326.8892215125,-2137.815063,7731.317769,8021.441746
33.9,1340.1372614781,-2095.684622,7434.341300,7724.074353
34.0,1352.6531441649,-2076.061918,6887.152951,7193.254400
34.1,1363.7534153846,-1981.489899,5855.178903,6181.377048
34.2,1373.2394897388,-1744.062843,5084.546486,5375.348190
34.3,1381.9618412944,-1503.018409,5003.025056,5223.918458
34.4,1390.8867757199,-1411.778958,5232.852961,5419.951101
34.5,1400.0200144839,-1418.596281,5153.657758,5345.334760
34.6,1408.6620056627,-1371.223140,4667.598154,4864.845879
34.7,1416.5603777952,-1295.965199,4333.350893,4522.991903
34.8,1424.0707552252,-1268.860694,4437.459414,4615.306437
34.9,1431.9703740729,-1266.533278,4686.911352,4855.022612
35.0,1440.2044022523,-1323.210307,4608.126807,4794.342310
35.1,1448.1791884452,-1317.059089,4466.086849,4656.240585
35.2,1455.5310593707,-1254.164910,3975.797020,4168.919712
35.3,1462.1113345184,-1161.609257,3509.571826,3696.813556
35.4,1467.8064285134,-1110.427992,3061.829069,3256.969078
35.5,1473.0150486632,-1200.794790,3039.412597,3268.017298
35.6,1478.6366975127,-1365.876142,3258.789880,3533.458521
35.7,1484.4382310110,-1446.940853,3284.773171,3589.341530
35.8,1489.4840765148,-1440.506954,2473.843091,2862.684042
35.9,1493.0303507512,-1253.682255,1527.870714,1976.387643
36.0,1495.3235331629,-888.885165,1300.944203,1575.618182
36.1,1497.7163652028,-525.063425,1676.015887,1756.337341
36.2,1501.1790209806,-274.761824,2330.701332,2346.841017
36.3,1505.7642073335,-158.623199,2680.139466,2684.829394
36.4,1509.8982168061,-142.548287,2108.879697,2113.691934
36.5,1513.6543627158,-87.298684,2319.240838,2320.883264
36.6,1518.1117099166,44.179814,2760.109197,2760.462758
36.7,1522.8263144259,164.416534,2628.933728,2634.070109
36.8,1527.0431403597,239.903159,2068.224264,2082.091528
