omega1_deg,omega2_deg,E
13.0,38.0,1591.2412484745
13.0,39.0,1611.5508282551
13.0,40.0,1631.0241580154
14.0,20.0,1543.8382780687
14.0,21.0,1506.1387274078
14.0,22.0,1477.8656810811
14.0,23.0,1460.3031140314
14.0,24.0,1416.2156250420
14.0,25.0,1376.7882520854
14.0,26.0,1300.2925243466
14.0,27.0,1214.8317546641
14.0,28.0,1074.0485882473
14.0,29.0,782.0049842731
14.0,30.0,600.3616529795
14.0,31.0,955.8409078892
14.0,32.0,1156.6045412394
14.0,33.0,1272.8043167627
14.0,34.0,1382.9362268540
14.0,35.0,1463.9750672239
14.0,36.0,1508.1940903794
14.0,37.0,1526.3578544797
14.0,38.0,1564.6702020325
14.0,39.0,1595.0178347678
14.0,40.0,1621.2154127814
15.0,20.0,1548.1392217130
15.0,21.0,1517.5542398540
15.0,22.0,1482.3689565712
15.0,23.0,1451.4635009690
15.0,24.0,1419.5858428689
15.0,25.0,1368.3911967706
15.0,26.0,1296.1709297965
15.0,27.0,1187.8798892232
15.0,28.0,1063.3548941391
15.0,29.0,794.5108015305
15.0,30.0,3.2453463108
15.0,31.0,804.5564656098
15.0,32.0,1096.1143708265
15.0,33.0,1226.8081123894
15.0,34.0,1352.6531441649
15.0,35.0,1440.2044022523
15.0,36.0,1495.3235331629
15.0,37.0,1532.7763402992
15.0,38.0,1561.7151296244
15.0,39.0,1592.9453794865
15.0,40.0,1623.5709129087
16.0,20.0,1545.2949787750
16.0,21.0,1521.4370441430
16.0,22.0,1490.6580110246
16.0,23.0,1448.1818544642
16.0,24.0,1432.1084297200
16.0,25.0,1389.1897717350
16.0,26.0,1316.0543084168
16.0,27.0,1228.0549336183
16.0,28.0,1121.3886845369
16.0,29.0,934.5160903004
16.0,30.0,599.5280834707
16.0,31.0,788.1385910191
16.0,32.0,1097.4320753832
16.0,33.0,1252.8646650520
16.0,34.0,1345.6938834615
16.0,35.0,1440.0363750156
16.0,36.0,1490.2027950318
16.0,37.0,1539.0320015505
16.0,38.0,1561.0686790022
16.0,39.0,1585.1823055046
16.0,40.0,1621.1218927945
17.0,20.0,1553.9180955115
17.0,21.0,1539.0476095750
17.0,22.0,1515.5451868403
17.0,23.0,1472.5643447359
17.0,24.0,1451.3256767638
17.0,25.0,1423.3399074483
17.0,26.0,1357.1118764234
17.0,27.0,1283.0787410944
17.0,28.0,1198.3287174345
17.0,29.0,1058.8893196906
17.0,30.0,877.2143833148
17.0,31.0,878.9803505675
17.0,32.0,1078.2861845617
17.0,33.0,1285.6526510047
17.0,34.0,1384.1683173691
17.0,35.0,1453.1437016215
17.0,36.0,1508.6316818463
17.0,37.0,1553.0781902289
17.0,38.0,1581.2068154657
17.0,39.0,1599.2504416919
17.0,40.0,1630.1890261996
18.0,20.0,1576.7143917179
18.0,21.0,1562.3229276080
18.0,22.0,1538.8294872571
18.0,23.0,1504.6295461366
18.0,24.0,1488.7265891685
18.0,25.0,1459.0060285780
18.0,26.0,1411.1981221784
18.0,27.0,1334.3044640198
18.0,28.0,1269.6222016710
18.0,29.0,1169.3979815939
18.0,30.0,1051.2370879242
18.0,31.0,1030.7359947334
18.0,32.0,1115.1718856646
18.0,33.0,1287.0548642798
18.0,34.0,1412.2002812622
18.0,35.0,1469.1059769799
18.0,36.0,1523.4415005810
18.0,37.0,1571.4171628079
18.0,38.0,1600.1875342403
18.0,39.0,1618.0482421310
18.0,40.0,1640.0068507266
19.0,20.0,1609.6555578370
19.0,21.0,1583.5396161268
19.0,22.0,1556.4661065263
19.0,23.0,1541.6100825998
19.0,24.0,1527.0707673661
19.0,25.0,1501.2618153304
19.0,26.0,1459.6318707381
19.0,27.0,1402.3350444048
19.0,28.0,1329.0231695440
19.0,29.0,1260.8926936316
19.0,30.0,1166.9505903470
19.0,31.0,1155.9028753586
19.0,32.0,1186.0991351643
19.0,33.0,1281.1492487160
19.0,34.0,1411.8777483938
19.0,35.0,1483.2770360562
19.0,36.0,1534.4140772127
19.0,37.0,1585.8514307845
19.0,38.0,1618.9891270824
19.0,39.0,1633.4176440253
19.0,40.0,1660.7043602850
20.0,20.0,1631.2388558068
20.0,21.0,1607.7896135400
20.0,22.0,1575.1964557750
20.0,23.0,1561.5860355173
20.0,24.0,1565.1048515991
20.0,25.0,1547.0485550231
20.0,26.0,1507.8088486101
20.0,27.0,1464.4547545763
20.0,28.0,1395.4024118568
20.0,29.0,1334.6785857818
20.0,30.0,1263.7599885847
20.0,31.0,1247.5863427629
20.0,32.0,1259.8361662685
20.0,33.0,1312.7244394814
20.0,34.0,1403.5653579702
20.0,35.0,1482.7466512901
20.0,36.0,1538.9990009885
20.0,37.0,1598.8859325093
20.0,38.0,1640.4095879126
20.0,39.0,1659.5236762121
20.0,40.0,1673.9268277729
21.0,20.0,1654.4338228093
21.0,21.0,1621.4076098398
21.0,22.0,1589.7153036903
21.0,23.0,1578.0994857350
21.0,24.0,1591.2762372346
21.0,25.0,1580.9681106455
21.0,26.0,1553.6995876643
21.0,27.0,1512.9458889802
21.0,28.0,1459.4795325208
21.0,29.0,1395.6122368154
21.0,30.0,1338.8820567005
21.0,31.0,1318.9779543192
21.0,32.0,1326.8243663515
21.0,33.0,1344.9504401587
21.0,34.0,1417.7382516131
21.0,35.0,1478.4690208050
21.0,36.0,1531.5003660762
21.0,37.0,1597.6776530270
21.0,38.0,1656.0254463846
21.0,39.0,1680.8517586846
21.0,40.0,1691.7845157558
22.0,20.0,1680.4150349193
22.0,21.0,1648.2692150304
22.0,22.0,1618.0136502683
22.0,23.0,1610.5864658499
22.0,24.0,1612.8078975235
22.0,25.0,1613.7990748781
22.0,26.0,1600.0577625299
22.0,27.0,1562.9667134758
22.0,28.0,1505.6375821753
22.0,29.0,1446.3487655412
22.0,30.0,1404.9789582916
22.0,31.0,1377.7162309493
22.0,32.0,1371.9279927603
22.0,33.0,1395.3272221064
22.0,34.0,1430.2418169200
22.0,35.0,1493.7717307840
22.0,36.0,1525.5172909913
22.0,37.0,1582.9741132492
22.0,38.0,1659.2898089574
22.0,39.0,1691.3965762102
22.0,40.0,1707.4089887075
23.0,20.0,1695.8756444772
23.0,21.0,1678.4137028893
23.0,22.0,1646.1766202175
23.0,23.0,1631.5254174522
23.0,24.0,1638.1768129573
23.0,25.0,1641.6766894676
23.0,26.0,1634.2281430767
23.0,27.0,1605.1820279199
23.0,28.0,1554.9043127418
23.0,29.0,1495.4875237692
23.0,30.0,1456.9888434354
23.0,31.0,1444.7411678239
23.0,32.0,1416.1125214442
23.0,33.0,1437.6145163183
23.0,34.0,1456.3387161594
23.0,35.0,1503.6462904227
23.0,36.0,1541.7868922409
23.0,37.0,1568.9430708779
23.0,38.0,1645.6138549028
23.0,39.0,1704.2866143370
23.0,40.0,1719.9673092965
24.0,20.0,1720.5799453855
24.0,21.0,1707.2421552802
24.0,22.0,1683.6946123230
24.0,23.0,1670.0539030641
24.0,24.0,1672.0290667184
24.0,25.0,1684.2348912933
24.0,26.0,1666.1439703072
24.0,27.0,1645.6075384427
24.0,28.0,1602.5041015966
24.0,29.0,1536.5862860696
24.0,30.0,1503.3698988071
24.0,31.0,1493.7973459018
24.0,32.0,1467.1778889642
24.0,33.0,1461.9993865278
24.0,34.0,1484.7879867529
24.0,35.0,1505.5437882173
24.0,36.0,1555.1889856174
24.0,37.0,1570.6213404233
24.0,38.0,1620.0071859140
24.0,39.0,1691.5984903003
24.0,40.0,1729.2957787537
25.0,20.0,1750.1051275575
25.0,21.0,1741.5485843035
25.0,22.0,1730.3664106125
25.0,23.0,1721.7453563808
25.0,24.0,1719.9009524365
25.0,25.0,1719.7375585690
25.0,26.0,1708.4202631079
25.0,27.0,1679.8730113770
25.0,28.0,1645.6193224121
25.0,29.0,1583.1107332093
25.0,30.0,1550.2595772707
25.0,31.0,1533.8931875954
25.0,32.0,1516.1461615628
25.0,33.0,1493.2567663800
25.0,34.0,1511.1427745704
25.0,35.0,1519.1420495824
25.0,36.0,1558.6531775241
25.0,37.0,1592.6417250424
25.0,38.0,1615.7362884697
25.0,39.0,1669.0719989425
25.0,40.0,1729.3291246353
